MMS ID (System Identifier),ISBN,OCLC (System Identifier),Author or Editor,Title,Publisher,Physical Description,Topical Subjects,Geographical Subjects,Personal Name Subjects,Corporate Body Subjects,Event/Conference Subjects,Title Subjects
991000307429704000,9781452274119,862207317,"Arrigo, Bruce A., editor.","Encyclopedia of criminal justice ethics / Bruce A. Arrigo, University of North Carolina, Charlotte, editor.","Los Angeles : SAGE reference, [2014]",2 volumes : illustrations ; 28 cm,"Criminal justice, Administration of--Moral and ethical aspects--Encyclopedias.",,,,,
991011348120204000,1529205255,1231959188,"Arrigo, Bruce A., editor; Sellers, Brian G., editor.","The pre-crime society : crime, culture and control in the ultramodern age / edited by Bruce A. Arrigo and Brian G. Sellers ; with a foreword by Ian Warren.","Bristol : Bristol University Press, 2021.","xxvi, 508 pages ; 24 cm","Crime prevention; Crime prevention--Technological innovations; Crime prevention--Political aspects; Crime forecasting; Criminal behavior, Prediction of.",,,,,
991008472429704000,9780415781787,752072392,"Arrigo, Bruce A; Bersot, Heather Y.",The Routledge handbook of international crime and justice studies / edited by Bruce A. Arrigo and Heather Y. Bersot.,"Abingdon, Oxon : Routledge, 2014.","xxx, 653 pages ; 26 cm.","Criminology--Handbooks, manuals, etc; Crime--Handbooks, manuals, etc; Criminal justice, Administration of--Handbooks, manuals, etc.",,,,,
991011290985704000,9780367621544,1182844946,"Ash, A. Anthony,  II, author.; Wiggan, Greg A., 1976- author; Watson-Vandiver, Marcia J., author.","Teacher education to enhance diversity in STEM : applying a critical postmodern science pedagogy / A. Anthony Ash II, Greg A. Wiggan, Marcia J. Watson-Vandiver.","New York, NY : Routledge, 2021.",pages cm,Science teachers--Training of; Science--Study and teaching--Social aspects; Minorities in science.,,,,,
991011149980504000,3030217213,1100622376,"Astratov, Vasily, editor.","Label-free super-resolution microscopy / Vasily Astratov, editor.","Cham, Switzerland : Springer, [2019]","xxii, 487 pages : color illustrations ; 24 cm.",Microscopy.,,,,,
991002476859704000,9780226441894,956984772,"Atkinson, Mary Layton, author.",Combative politics : the media and public perceptions of lawmaking / Mary Layton Atkinson.,"Chicago : The University of Chicago Press, 2017.","xvi, 211 pages : illustrations ; 23 cm",Mass media--Political aspects--United States; Political parties--Press coverage--United States.,,,,,
991011316167504000,9781433163890,1120784523,"Atkins-Sayre, Wendy, 1972- editor; Stokes, Ashli Quesinberry, editor.","City places, country spaces : rhetorical explorations of the urban/rural divide / Wendy Atkins-Sayre and Ashli Quesinberry Stokes, editors.","New York : Peter Lang, [2020]","viii, 305 pages : illustrations ; 23 cm.","Regionalism--Social aspects; Cities and towns--Social aspects; Sociology, Urban; Sociology, Rural.",,,,,
991002220589704000,9780199366354,946987529,"Aulette, Judy Root, author.",A global view of race and racism / Judy Root Aulette.,"New York : Oxford University Press, [2017]","xiv, 242 pages ; 24 cm",Race; Ethnic groups; Racism; Race relations.,,,,,
991000568409704000,9780199335619,872655010,"Aulette, Judy Root.; Wittner, Judith G.","Gendered worlds / Judy Root Aulette, University of North Carolina-Charlotte, Judith Wittner, Loyola University Chicago.","New York : Oxford University Press, [2015]","xxv, 564 pages : illustrations ; 23 cm",Sex role; Women--Social conditions; Feminist theory.,,,,,
991011322769104000,9789004467033,1251766465,"Avila, JuliAnna, editor.",Critical digital literacies : boundary-crossing practices / edited by JuliAnna AÌvila.,"Leiden ; Boston : Brill, [2021]",230 pages : illustrations ; 24 cm.,Computer literacy; Critical pedagogy; English language--Computer-assisted instruction; English language--Study and teaching; Educational technology.,,,,,
991011412842504000,9780367621483,1259297101,"Avila, JuliAnna, editor; Rud, A. G., 1953- editor; Waks, Leonard J. (Leonard Joseph), editor; Ring, Emer, 1960- editor.","The contemporary relevance of John Dewey's theories on teaching and learning : Deweyan perspectives on standardization, accountability, and assessment in education / Edited by JuliAnna Avila, AG Rud, Leonard J. Waks, and Emer Ring.","New York, NY : Routledge, 2022.","xxx, 324 pages : illustrations ; 24 cm.","Dewey, John,--1859-1952--Views on education; Educational accountability; Educational tests and measurements; Education--Philosophy.",,,,,
991000030719704000,9780415818131,852218780,"Avila, JuliAnna; Pandya, Jessica Zacher.","Moving critical literacies forward : a new look at praxis across contexts / edited by Jessica Zacher Pandya, Julianna AÌvila.","New York : Routledge, Taylor & Francis Group, 2014.","xv, 206 pages ; 24 cm",Literacy--Social aspects; Language arts--Social aspects; Critical pedagogy.,,,,,
991011533992004000,9781138857346,1293648998,"Azarbayjani, Mona, author.",High-performance double skin facÌ§ade buildings : climatic-based exploration / Mona Azarbayjani.,"New York, NY : Routledge, 2022.","xv, 200 pages : illustrations (colour) ; 25 cm",Exterior insulation and finish systems; Facades--Design and construction; Buildings--Environmental engineering; Buildings--Thermal properties; Sustainable buildings.,,,,,
991011165887604000,9780415788083,1107805789,"Baer, Brian James, editor; Mellinger, Christopher D. (Christopher Davey), editor.",Translating texts : an introductory coursebook on translation and text formation / edited by Brian James Baer and Christopher D. Mellinger.,"New York : Taylor and Francis, 2019.",275 pages : illustrations ; 25 cm,Translating and interpreting--Study and teaching--Methodology.,,,,,
991011292089804000,9780367433819,1162212278,"Baldwin, Yuliya, author.",English loans in contemporary Russian / Yuliya Baldwin.,"Abingdon, Oxon ; New York, NY : Routledge, 2021.","xii, 314 pages ; 25 cm",Russian language--Foreign words and phrases--English--Dictionaries.,,,,,
991009834809704000,9400770669,843996963,"Barker, Gillian; Desjardins, Eric; Pearce, Trevor.","Entangled life : organism and environment in the biological and social sciences / Gillian Barker, Eric Desjardins, Trevor Pearce, editors.","Dordrecht ;$aNew York : Springer, Â©2014.","vi, 279 pages : illustrations ; 24 cm.",Ecology; Evolution (Biology) and the social sciences; Biology--Philosophy.,,,,,
991011170189604000,9783030271374,1107357606,"Benbow, Heather Merle, editor; Perry, Heather R., editor.","Food, culture and identity in Germany's century of war / Heather Merle Benbow, Heather R. Perry, editors.","Cham : Palgrave Macmillan, [2019]","xiii, 280 pages ; 22 cm",Food security--Germany--History--20th century; Food supply--Germany--History--20th century; Food habits--Germany--History--20th century.,,,,,
991011105202304000,9781682533697,1096213979,"Benson, Tracey A., author.; Fiarman, Sarah E. (Sarah Edith), author.","Unconscious bias in schools : a developmental approach to exploring race and racism / Tracey A. Benson, Sarah E. Fiarman.","Cambridge, Massachusetts : Harvard Education Press, [2019]","xi, 208 pages ; 23 cm",Racism in education--United States; Educational equalization--United States; Discrimination in education--United States; African Americans--Education--United States; Multicultural education--United States.,United States--Race relations.,,,,
991011319160704000,1682535851,1201384883,"Benson, Tracey A., author.; Fiarman, Sarah E. (Sarah Edith), author.","Unconscious bias in schools : a developmental approach to exploring race and racism / Tracey A. Benson, Sarah E. Fiarman.","Cambridge, Massachusetts : Harvard Education Press, [2020]","xi, 208 pages ; 23 cm",Racism in education--United States; Educational equalization--United States; African Americans--Education--United States; Multicultural education--United States.,,,,,
991011011588804000,9780190876982,1045648953,"Berman, Elise, author.",Talking like children : language and the production of age in the Marshall Islands / Elise Berman.,"New York, NY, United States of America : Oxford University Press, [2019]","xiv, 207 pages ; 24 cm.",Intergenerational communication--Marshall Islands; Age groups--Marshall Islands; Exchange--Social aspects--Marshall Islands.,Marshall Islands--Social life and customs.,,,,
991000576339704000,9780748685493,873746482,"Bernard, Mark.",Selling the splat pack : the DVD revolution and the American horror film / Mark Bernard.,"Edinburgh : Edinburgh University Press, [2014]","ix, 213 pages : illustrations ; 24 cm",Splatter films--United States--History; Splatter films--Economic aspects--United States; Splatter films--Production and direction--United States; Horror films--United States--History; Horror films--Economic aspects--United States; Horror films--Production and direction--United States; Motion picture industry--United States; DVDs.,,,,,
991001193629704000,9780823265190,898005943,"Biles, Jeremy, editor; Brintnall, Kent, editor.",Negative ecstasies : Georges Bataille and the study of religion / edited by Jeremy Biles and Kent L. Brintnall.,"New York : Fordham University Press, 2015.","xii, 311 pages : illustrations ; 24 cm.",Religion; Religions.,,"Bataille, Georges, 1897-1962",,,
991011508029804000,3031038606,1304816032,"Bishwal, Jaya P. N., author.",Parameter estimation in stochastic volatility models / Jaya P.N. Bishwal.,"Cham : Springer, 2022.",613 pages : illustrations ; 25 cm,Stochastic models; Parameter estimation.,,,,,
991010944652904000,9780810138124,1028906157,"Blain, Keisha N., 1985- editor; Cameron, Christopher, 1983- editor; Farmer, Ashley D., editor.","New perspectives on the Black intellectual tradition / edited by Keisha N. Blain, Christopher Cameron, and Ashley D. Farmer.","Evanston, Illinois : Northwestern University Press, 2018.",266 pages : illustrations ; 23 cm,African Americans--Intellectual life--Congresses; African Americans--Social conditions--Congresses; African diaspora--Congresses.,,,,,
991011256479704000,9780367224370,1133127164,"Boisvert, Daniel R., author.; Thiede, Ralf, author.","Language, mind and power : why we need linguistic equality / Daniel R. Boisvert and Ralf Thiede.","New York : Routledge, 2020.",189 pages : illustrations ; 26 cm,Language and languages--Political aspects; Sociolinguistics; Power (Social sciences); Psycholinguistics.,,,,,
991011529550304000,9781510639379,1198085880,"Boreman, G. D. (Glenn D.), author.",Modulation transfer function in optical and electro-optical systems / Glenn D. Boreman.,"Bellingham, Washington USA : SPIE Press, [2021]","xiii, 140 pages : illustrations ; 26 cm.",Optics; Electrooptical devices; Modulation theory.,,,,,
991010944488104000,3319926624,1032590379,"Bou Franch, Patricia, editor; GarceÌs-Conejos Blitvich, Pilar, 1960- editor.","Analyzing digital discourse : new insights and future directions / Patricia Bou-Franch, Pilar GarceÌs-Conejos Blitvich, editors.","Cham, Switzerland : Palgrave Macmillan, [2019]","xviii, 398 pages : illustrations ; 23 cm",Digital media; Digital communications; Applied linguistics.,,,,,
991010945889804000,9781496399670,1048659850,"Boyce, Thomas G., author.","Moffet's board review for pediatric infectious diseases / Thomas G. Boyce, MD, MPH Associate Clinical Professor,, University of North Carolina, Pediatric Infectious Diseases and Immunology Levine Children's Hospital, Atrium Health, Charlotte, North Carolina.","Philadelphia: Wolters Kluwer, [2019]",pages cm,"Communicable diseases in children--Examinations, questions, etc.",,,,,
991002170999704000,9780028662978,945730146,"Brintnall, Kent, editor.","Religion : embodied religion / Kent L. Brintnall, editor.","Farmington Hills, Mich : Macmillan Reference USA, a part of Gale, Cengage Learning, [2016]","xxxi, 418 pages : illustrations ; 27 cm.",Sex--Religious aspects.,,,,,
991010871889204000,9780823277513,1004981709,"Brintnall, Kent, editor.","Sexual disorientations : queer temporalities, affects, theologies / Kent L. Brintnall, Joseph A. Marchal, and Stephen D. Moore, editors.","New York, NY : Fordham University Press, [2018]","viii, 332 pages ; 23 cm",Gender identity--Religious aspects--Christianity; Sexual orientation--Religious aspects--Christianity; Time--Religious aspects--Christianity.,,,,,
991011256813804000,9781462542383,1129395835,"Browder, Diane M., author.; Spooner, Fred, author; Courtade, Ginevra, author.","Teaching students with moderate and severe disabilities / Diane M. Browder, Fred Spooner, Ginevra R. Courtade, and contributors.","New York : The Guilford Press, [2020]","xv, 440 pages : illustrations ; 26 cm",Students with disabilities--Education; Students with disabilities--Life skills guides; Children with disabilities--Education; Teachers of children with disabilities; Special education teachers.,,,,,
991000450719704000,9781598573176,868298493,"Browder, Diane M., editor; Spooner, Fred, editor.","More language arts, math, and science for students with severe disabilities / [37 authors] ; edited by Diane Browder and Fred Spooner.","Baltimore, Md. : Paul H. Brookes Publishing, 2014.","xxv, 299 pages : illustrations ; 25 cm",Children with mental disabilities--Education--United States; Language arts--United States; Inclusive education--United States; Academic achievement--United States.,,,,,
991011426108904000,1789908507,1260131922,"Bryson, John R., editor; Billing, Chloe, editor; Graves, William, editor; Yeung, Godfrey, editor.","A research agenda for manufacturing industries in the global economy / edited by John R. Bryson, Chloe Billing, William Graves, Godfrey Yeung.","North Hampton, MA : Edward Edgar Publishing, 2022.","xxiv, 257 pages : illustrations ; 24 cm.",Manufacturing industries; Manufacturing industries--Environmental aspects; International business enterprises; International business enterprises--Environmental aspects.,,,,,
991001430159704000,9780199340484,907101914,"Burkholder, Mark A., 1943-, author.; Johnson, Lyman L.","Colonial Latin America / Mark A. Burkholder (University of Missouri-St. Louis), Lyman L. Johnson (University of North Carolina, Charlotte).","New York : Oxford University Press, [2015]","viii, 422 pages : illustrations, maps ; 24 cm",,Latin America--History--To 1830.,,,,
991011467846704000,9781793629913,1298714112,"Butler, Bettie Ray, 1981- editor; Farinde-Wu, Abiola, editor; Winchell, Melissa, 1976- editor.","Mentoring while Wwhite : culturally responsive practices for sustaining the lives of Black college students / edited by Bettie Ray Butler, Abiola Farinde-Wu, and Melissa Winchell.","Lanham, Maryland : Lexington Books, an imprint of The Rowman & Littlefield Publishing Group, Inc., [2022]","xii, 293 pages : illustrations ; 24 cm",Mentoring in education--Social aspects; African American college students--Social conditions--Case studies; College teachers--United States--Attitudes.,United States--Race relations.,,,,
991011256480304000,153616741X,1121480252,"Byker, Erik Jon, editor; Horton, Akesha, editor.","Elementary education : global perspectives, challenges and issues of the 21st century / Erik Jon Byker and Akesha Horton, editors.","New York : Nova Science Publishers, 2020.",302 pages : illustrations ; 24 cm.,"Education, Elementary; Education, Elementary--Curricula--Cross-cultural studies; Education, Elementary--Aims and objectives; Education and globalization.",,,,,
991010772389804000,9781475836288,1013490192,"Byrnes, Kathryn, 1978- editor; Dalton, Jane, 1959- editor; Dorman, Elizabeth Hope, 1964- editor.","Cultivating a culture of learning : contemplative practices, pedagogy, and research in education / edited by Kathryn Byrnes, Jane E. Dalton, Elizabeth Hope Dorman.","Lanham, Maryland : Rowman & Littlefield, [2018]","xix, 111 pages ; 23 cm",Teachers--Training of; Teachers--Training of--Psychological aspects; Reflective teaching.,,,,,
991011389009004000,3030833003,1259049561,"Cali, Umit, author.; Kuzlu, Murat, author; Pipattanasomporn, Manisa, author; Kempf, James, author; Bai, Linquan, author.","Digitalization of power markets and systems using energy informatics / Umit Cali, Murat Kuzlu, Manisa Pipattanasomporn, James Kempf, Linquan Bai.","Cham, Switzerland : Springer, [2021]","xii, 248 pages : illustrations (chiefly color), chiefly map ; 25 cm",Electric power systems--Data processing; Smart power grids; Electric power systems--Technological innovations.,,,,,
991000420369704000,9781606351949,867001055,"Cameron, Christopher, 1983-",To plead our own cause : African Americans in Massachusetts and the making of the antislavery movement / Christopher Cameron.,"Kent, Ohio : The Kent State University Press, 2014.","viii, 172 pages ; 24 cm.",African American abolitionists--Massachusetts--History.,,,,,
991011336138904000,9780826502070,1243039935,"Cameron, Christopher, 1983- editor; Sinitiere, Phillip Luke, editor.","Race, religion, and Black Lives Matter : essays on a moment and a movement / Christopher Cameron and Phillip Luke Sinitiere, eds.","Nashville : Vanderbilt University Press, [2021]",1 volume ; 23 cm,Black lives matter movement--Religious aspects; African Americans--Civil rights; African Americans--Religion; Civil rights--Religious aspects; Race relations--Religious aspects; Religion and social problems--United States.,United States--Race relations.,,,,
991011113878704000,9780810140783,1080425423,"Cameron, Christopher, 1983-, author.",Black freethinkers : a history of African American secularism / Christopher Cameron.,Evanston : Northwestern University Press 2019.,"xvii, 236 pages ; 23 cm",Free thought; African Americans--Religion; Secularism--United States--History--19th century; Secularism--United States--History--20th century.,,,,,
991000447409704000,9781610695121,868199896,"Cameron, Christopher, 1983-, author.",The Abolitionist Movement : documents decoded / Christopher Cameron.,"Santa Barbara, California : ABC-CLIO, 2014.","xxviii, 253 pages : illustrations ; 29 cm.",Antislavery movements--United States; Antislavery movements--United States--Sources; Abolitionists--United States--History; Abolitionists--United States--History--Sources.,,,,,
991001747719704000,9781138781450,920018599,"Campbell-Whatley, Gloria D., author.; Dunaway, David M., author; Hancock, Dawson R., author.","A school leader's guide to implementing the common core : inclusive practices for all students / Gloria D. Campbell-Whatley, David M. Dunaway, Dawson Hancock.","New York, NY : Routledge, 2016.","xiv, 158 pages ; 26 cm.",Common Core State Standards (Education); Inclusive education--United States.,,,,,
991011328171204000,807765457,1230231150,"Campbell-Whatley, Gloria D., author.; Rodriguez, Diane (Educator) author; Agrawal, Jugnu, author.","STEAM meets story : using adolescent fiction and film to spark deeper learning / Gloria D. Campbell-Whatley, Diane Rodriguez, Jugnu Agrawal.","New York ; London : Teachers College Press, [2021]","x, 142 pages : illustrations ; 28 cm",Science--Study and teaching (Secondary); Technology--Study and teaching (Secondary); Engineering--Study and teaching (Secondary); Arts--Study and teaching (Secondary); Mathematics--Study and teaching (Secondary); Science in literature; Science in motion pictures.,,,,,
991011113838104000,3030203077,1097314694,"Carmichael, Ted, editor; Collins, Andrew J. (Andrew James), editor; Hadzikadic, Mirsad, editor.","Complex adaptive systems : views from the physical, natural, and social sciences / Ted Carmichael, Andrew J. Collins, Mirsad HadzÌŒikadicÌ, editors.","Cham, Switzerland : Springer, 2019","viii, 250 pages : illustrations (some color) ; 24 cm.",Swarm intelligence; Intelligent agents (Computer software); Computational complexity.,,,,,
991011256480004000,3030359018,1125269711,"Carmichael, Ted, editors; Yang, Zining, editors.","Proceedings of the 2018 Conference of the Computational Social Science Society of the Americas  / Ted Carmichael, Zining Yang, editors.","Cham : Springer, 2020.",291 pages : illustrations ; 25 cm.,Social sciences--Data processing--Congresses; Social sciences--Mathematical models--Congresses.,,,,,
991010870485104000,9781621903574,965617464,"Cash, Micah, author, photographer.",Dangerous waters : a photo essay on the Tennessee Valley Authority / Micah Cash.,"Knoxville : The University of Tennessee Press, [2017]","xi, 127 pages ; 19 x 27 cm",Flood dams and reservoirs--Tennessee River Valley--Pictorial works.,Tennessee River Valley--Pictorial works.,,Tennessee Valley Authority--History.;Tennessee Valley Authority.,,
991001924529704000,9781138931657,930255532,"Castro, Olga, 1980- editor; Ergun, Emek (Professor) editor.",Feminist translation studies : local and transnational perspectives / edited by Olga Castro and Emek Ergun.,"New York, NY : Routledge, 2017.","xvi, 281 pages ; 24 cm.",Translating and interpreting--Political aspects; Women's studies--Political aspects; Women translators--Political aspects; Sex role in literature.,,,,,
991011458565304000,9780784415825,1258041633,"Cavalline, Tara, author.; Morian, Dennis A., author; Schexnayder, Cliff J., author.","Construction quality in the alternate project delivery environment / Tara Cavalline, Ph.D., P.E., Dennis Morian, P.E., Clifford J. Schexnayder, Ph.D., P.E.","Reston, Virginia : ASCE Press, American Society of Civil Engineers, [2021]","xxiv, 446 pages : illustrations ; 26 cm",Building--Quality control.,,,,,
991001455909704000,9780803277229,907651271,"Chancellor, Bryn, author.",When are you coming home? : stories / Bryn Chancellor.,"Lincoln ; London : University of Nebraska Press, [2015]","x, 121 pages ; 22 cm.","Short stories, American.",,,,,
991002466199704000,9780062661098,956624910,"Chancellor, Bryn, author.",Sycamore : a novel / Bryn Chancellor.,"New York, NY : Harper, an imprint of HarperCollinsPublishers, [2017]",323 pages ; 24 cm,,Arizona--Fiction.,,,,
991010908589804000,331996240X,1041638318,"Chen, Don, editor; Kim, Sung-Hee (Sonny), editor; Tapase,Anand. editor.","Advancements on sustainable civil infrastructures : proceedings of the 5th GeoChina International Conference 2018 -- Civil Infrastructures Confronting Severe Weathers and Climate Changes: From Failure to Sustainability, held on July 23 to 25, 2018 in HangZhou, China / Don Chen, Sonny Kim, Anand Tapase, editors.","Cham, Switzerland : Springer, 2019.",vii; 162 pages 24cm.,Geotechnical engineering--Congresses; Civil engineering--Environmental aspects--Congresses.,,,,,
991010840050304000,9781506346922,1002692941,"Chernotsky, Harry Ira, author.; Hobbs, Heidi H., author.","Crossing borders : international studies for the 21st century / Harry I. Chernotsky, the University of North Carolina at Charlotte, Heidi H. Hobbs, North Carolina State University.","Washington : CQ Press, DC. [2018]",336 pages : illustrations  ; 26 cm,"Technological innovations--Economic aspects; Security, International; Economic development; International relations.",,,,,
991011467645404000,9781544378060,1245247800,"Chernotsky, Harry Ira, author.; Hobbs, Heidi H., author.","Crossing borders : international studies for the 21st century / Harry I. Chernotsky, Heidi H. Hobbs.","Los Angeles : CQ Press, 2021.",1 volume ; 26 cm,"Technological innovations--Economic aspects; Security, International; Economic development.",,,,,
991001521599704000,9781483376073,909304146,"Chernotsky, Harry Ira, author.; Hobbs, Heidi H., author.","Crossing borders : international studies for the 21st century / Harry I. Chernotsky, the University of North Carolina at Charlotte, Heidi H. Hobbs, North Carolina State University.","Thousand Oaks, CA : SAGE, [2016]",1 volume,Globalization--Social aspects; Boundaries--Social aspects; International relations; Intercultural communication.,,,,,
991002225409704000,9781522505280,947104914,"Cintron, Rene, 1978-","Accelerated opportunity education models and practices / Rene Cintron, Louisianan Community & Technical College System, USA, Jeanne C. Samuel, Delgado Community College, USA, Janice M. Hinson, University of North Caroline at Charlotte, USA.","Hershey PA : IGI Global Disseminator of Knowledge, 2017.","xx, 316 pages ; 27 cm.",Educational acceleration; Counseling in higher education; Educational attainment.,,,,,
991011372400104000,9781666719567,1291876581,"Clausen, David Christian, 1959-, author.",Meet Paul again for the first time : Jewish Apostle of Pagan Redemption / David Christian Clausen.,"Eugene, Oregon : Wipf  & Stock, 2021.",248 pages ; c 23 cm,,,"Paul, the Apostle, Saint",,,
991001979629704000,9781476663050,933590554,"Clausen, David Christian, 1959-, author.","The Upper Room and tomb of David : the history, art, and archaeology of the Cenacle on Mount Zion / David Christian Clausen.","Jefferson, North Carolina : McFarland & Company, Inc., Publishers, [2016]","xiii, 268 pages : illustrations, maps, plans ; 23 cm",Cenacle (Jerusalem),"Zion, Mount (Jerusalem)","David, King of Israel--Tomb",,,
991011458565004000,1975504992,1285487410,"Coffey, Heather, author.; Arnold, Lucy, author.",Transformative critical service-learning : theory and practice for engaging community college and university learners in building an activist mindset / by Heather Coffey and Lucy Arnold.,"Gorham, Maine : Myers Education Press, 2022.",126 pages : illustrations ; 23 cm,Service learning.,,,,,
991010840050204000,9781681251714,1005306942,"Collins, Belva C., author.","Eight paths to leadership : a guide for special educators / by Belva C. Collins, Ed. D.","Baltimore, Maryland : Paul H. Brookes Publishing Co., [2018]","xi, 172 pages ; 26 cm",Special education teachers--Professional relationships; Educational leadership; Special education--Administration; Children with disabilities--Education.,,,,,
991010945639104000,9781138671386,993623872,"Combs, Cindy C., author.","Terrorism in the twenty-first century / Cynthia C. Combs, University of North Carolina-Charlotte.","New York ; London: Routledge/Taylor & Francis Group, 2018.","xxv, 430 pages ; 23 cm",Terrorism; Terrorism--Forecasting.,,,,,
991002268199704000,9781138190221,949552919,"Compton-Lilly, Catherine, author.",Reading students' lives : literacy learning across time / Catherine Compton-Lilly.,"New York, NY : Routledge, 2017.","xviii, 140 pages : illustrations ; 23 cm.",Urban youth--Education--United States; African American youth--Education; Urban youth--Books and reading--United States; African American youth--Books and reading; High school students--Books and reading--United States; Reading--Parent participation--United States; Home and school--United States.,,,,,
991010870485004000,9781682472194,988051743,"Conrad, Justin M., author.","Gambling and war : risk, reward, and chance in international conflict / Justin Conrad.","Annapolis, Maryland : Naval Institute Press, [2017]","xi, 246 pages : illustrations ; 24 cm",War--Decision making; National security--Decision making; Gambling--Miscellanea; Strategy; International relations.,,,,,
991011024689404000,9781569026090,1048028402,"Cooper, Barbara MacGowan, editor; Corwin, Gary, 1948- editor; Eshete, Tibebe, editor; Gaiya, Musa A. B., editor; Geysbeek, Tim (Timothy W.), editor; Shankar, Shobana, editor.","Transforming Africa's religious landscapes : the Sudan Interior Mission (SIM), past and present / edited by Barbara M. Cooper, Gary R. Corwin, Tibebe Eshete, Musa A. B. Gaiya, Tim Geysbeek and Shobana Shankar.","Trenton, New Jersey : Africa World Press, [2018]","xxii, 588 pages : illustrations, maps ; 23 cm","Missions--Africa, Sub-Saharan--History.","Africa, Sub-Saharan--Church history.",,Sudan Interior Mission--History.;SIM (Organization)--History.;Evangelical Churches of West Africa--History.;Evangelical Churches of West Africa.,,
